company_name,contact_name,city,state,phone,email,website,facebook_or_social,services_notes,source,directory_url,directory_status
Ag Drones Northwest,Bill Kuper,Cle Elum,WA,888-696-4581,info@agdronesnorthwest.com,agdronesnorthwest.com,instagram.com/agdronesnorthwest,Part 137 #328G704R drone spraying orchards/vineyards/rangeland/forestry; WA/OR/ID,Google Maps WA | Web,https://agdronedirectory.com/operators/ag-drones-northwest,existing
Black Dog Drone Company,Josh Howard,Loudon,TN,423-337-1567,info@blackdogdroneco.com,blackdogdroneco.com,instagram.com/blackdogdroneco,Founded 2023; crop spraying + field analysis seeding fertilization; XAG & DJI dealer; East/Middle TN,Subagent,https://agdronedirectory.com/operators/black-dog-drone-co,existing
Monarch Drone Solutions,Dakota Crow,Republic,MO,417-293-2769,Dakota@MonarchDrone.com,monarchdrone.com,facebook.com/monarchdrone,Aerial spray & seed services; pasture/invasive treatment; ag drone dealer,Facebook/company site,https://agdronedirectory.com/operators/monarch-drone-solutions,new
Mountain West Drone Services LLC,Grant Mader,Craig,CO,(970) 896-7111,Grant@MountainWestDroneServices.biz,mountainwestdroneservices.biz,facebook.com/Mountain-West-Drone-Services,Drone aerial spraying and seeding rangeland/forest/ROW; Routt Moffat Rio Blanco counties,Subagent,https://agdronedirectory.com/operators/mountain-west-drone-services-llc,new
Nelson Drone Solutions LLC,Chad Nelson,Fairfield,NE,402-326-5811,chad@nelsonbrand.com,nelsondrone.com,facebook.com/profile.php?id=61556691427053,Drone spraying (herbicide/fungicide/pesticide) cover crop seeding pasture mgmt; 11000+ acres; Talos T60x + DJI M4T,44807 grant FAA-2024-0255,https://agdronedirectory.com/operators/nelson-drone-solutions,existing
New Horizons Drone Solutions LLC,Ryan Schmidt,Wray,CO,(970) 630-3682,newhorizonsdronesolutions@gmail.com,newhorizonsdronesolutions.com,facebook.com/New-Horizons-Drone-Solutions-LLC,Aerial drone herbicide/insecticide application; pasture rangeland ROW; weed/grasshopper control,Subagent,https://agdronedirectory.com/operators/new-horizons-drone-solutions-llc,existing
Patriot Drone Services LLC,Billy,Durand,WI,715-495-7554,patriotdroneservices@outlook.com,patriotdroneservicesllc.com,facebook.com/patriotdroneservicesllc,Agricultural drone sales and custom application; ASD network,Google Maps WI,https://agdronedirectory.com/operators/patriot-drone-services-llc,new
Sphex Ag,Barry/Gabriel,Billings,MT,406-697-2315,sphexag@gmail.com,sphexag.com,facebook.com/441622495711850,Precision drone spraying of seed pesticides herbicides fertilizers across Montana,Google,https://agdronedirectory.com/operators/sphex-ag,existing
Wollam Drones,Bob Wollam,Continental,OH,419-596-3896,wollamprecisionair@gmail.com,wollamdrones.com,facebook.com/bob.wollam,Drone fungicide spraying + aerial imaging; DJI ag dealer & repair; family ag business since 1927,Google/company site,https://agdronedirectory.com/operators/wollam-drones,existing
DroneVantage,,Carthage,MO,417-310-7707,info@dronevantage.us,dronevantage.us,facebook.com/DroneVantage.us,Drone spraying spreading mapping; serves MO/KS/OK/AR,Google/company site,https://agdronedirectory.com/operators/dronevantage,new
